epoch,accuracy,loss,val_accuracy,val_loss
0,0.3761416971683502,1.3261340856552124,0.42363113164901733,1.2705894708633423
1,0.6498754620552063,0.9643606543540955,0.6282420754432678,0.9034968018531799
2,0.797121524810791,0.5748608708381653,0.7060518860816956,0.7946754693984985
3,0.8447273969650269,0.41949525475502014,0.6945244669914246,0.7951810359954834
4,0.8826460242271423,0.3336862325668335,0.6772334575653076,0.8105292916297913
5,0.9045115113258362,0.2708955407142639,0.6916426420211792,0.8530902862548828
6,0.9230556488037109,0.2321905493736267,0.6743515729904175,0.8738309144973755
7,0.9380016326904297,0.19304847717285156,0.6714697480201721,0.9676395058631897
8,0.948519229888916,0.16746804118156433,0.6743515729904175,1.0108717679977417
9,0.9579296708106995,0.14505717158317566,0.6945244669914246,1.0398699045181274
10,0.9645723700523376,0.1262836903333664,0.6945244669914246,1.1216541528701782
11,0.9673401713371277,0.11477179825305939,0.6916426420211792,1.1342196464538574
12,0.9676169157028198,0.106814444065094,0.6714697480201721,1.177513837814331
13,0.9717686176300049,0.09707394987344742,0.6858789920806885,1.254814624786377
14,0.9723221659660339,0.09597033262252808,0.680115282535553,1.277251958847046
15,0.9748131632804871,0.0850396379828453,0.6685879230499268,1.3328849077224731
16,0.973706066608429,0.0858926996588707,0.6599423885345459,1.3377007246017456
17,0.9773041605949402,0.07775167375802994,0.680115282535553,1.371709942817688
18,0.975089967250824,0.07316707074642181,0.6541786789894104,1.3731893301010132
19,0.9753667116165161,0.077613964676857,0.680115282535553,1.3929475545883179
20,0.977027416229248,0.06895139813423157,0.6426513195037842,1.4437190294265747
21,0.9786880612373352,0.06317991018295288,0.651296854019165,1.4495733976364136
22,0.9761970639228821,0.06699465960264206,0.6685879230499268,1.491093635559082
23,0.9795184135437012,0.06198270991444588,0.6426513195037842,1.4896975755691528
24,0.9753667116165161,0.06764521449804306,0.6455331444740295,1.501564383506775
